,Request id,Pickup point,Status,Request timestamp,Hour,Day,Time Slot
0,619,Airport,Trip Completed,2016-07-11 11:51:00,11,Monday,Morning
1,867,Airport,Trip Completed,2016-07-11 17:57:00,17,Monday,Evening
2,1807,City,Trip Completed,2016-07-12 09:17:00,9,Tuesday,Morning
3,2532,Airport,Trip Completed,2016-07-12 21:08:00,21,Tuesday,Late Night
4,3112,City,Trip Completed,2016-07-13 08:33:16,8,Wednesday,Morning
5,3879,Airport,Trip Completed,2016-07-13 21:57:28,21,Wednesday,Late Night
6,4270,Airport,Trip Completed,2016-07-14 06:15:32,6,Thursday,Morning
7,5510,Airport,Trip Completed,2016-07-15 05:11:52,5,Friday,Early Morning
8,6248,City,Trip Completed,2016-07-15 17:57:27,17,Friday,Evening
9,267,City,Trip Completed,2016-07-11 06:46:00,6,Monday,Morning
10,1467,Airport,Trip Completed,2016-07-12 05:08:00,5,Tuesday,Early Morning
11,1983,City,Trip Completed,2016-07-12 12:30:00,12,Tuesday,Aftrnoon
12,2784,Airport,Trip Completed,2016-07-13 04:49:20,4,Wednesday,Early Morning
13,3075,City,Trip Completed,2016-07-13 08:02:53,8,Wednesday,Morning
14,3379,City,Trip Completed,2016-07-13 14:23:02,14,Wednesday,Aftrnoon
15,3482,Airport,Trip Completed,2016-07-13 17:23:18,17,Wednesday,Evening
16,4652,City,Trip Completed,2016-07-14 12:01:02,12,Thursday,Aftrnoon
17,5335,Airport,Trip Completed,2016-07-14 22:24:13,22,Thursday,Late Night
18,535,Airport,Trip Completed,2016-07-11 10:00:00,10,Monday,Morning
19,960,Airport,Trip Completed,2016-07-11 18:45:00,18,Monday,Night
20,1934,Airport,Trip Completed,2016-07-12 11:17:00,11,Tuesday,Morning
21,2083,Airport,Trip Completed,2016-07-12 15:46:00,15,Tuesday,Evening
22,2211,Airport,Trip Completed,2016-07-12 18:00:00,18,Tuesday,Night
23,3096,Airport,Trip Completed,2016-07-13 08:17:29,8,Wednesday,Morning
24,3881,Airport,Trip Completed,2016-07-13 21:54:18,21,Wednesday,Late Night
25,5254,City,Trip Completed,2016-07-14 21:23:03,21,Thursday,Late Night
26,5434,City,Trip Completed,2016-07-15 02:41:38,2,Friday,Early Morning
27,5916,City,Trip Completed,2016-07-15 10:00:43,10,Friday,Morning
28,669,City,Trip Completed,2016-07-11 13:08:00,13,Monday,Aftrnoon
29,1567,Airport,Trip Completed,2016-07-12 06:21:00,6,Tuesday,Morning
30,1826,City,Trip Completed,2016-07-12 09:27:00,9,Tuesday,Morning
31,2102,City,Trip Completed,2016-07-12 16:09:00,16,Tuesday,Evening
32,2847,Airport,Trip Completed,2016-07-13 05:34:20,5,Wednesday,Early Morning
33,3722,Airport,Trip Completed,2016-07-13 19:57:59,19,Wednesday,Night
34,4075,City,Trip Completed,2016-07-14 02:17:35,2,Thursday,Early Morning
35,4686,City,Trip Completed,2016-07-14 13:01:10,13,Thursday,Aftrnoon
36,5771,Airport,Trip Completed,2016-07-15 08:30:06,8,Friday,Morning
37,6106,Airport,Trip Completed,2016-07-15 15:01:20,15,Friday,Evening
38,312,City,Trip Completed,2016-07-11 07:27:00,7,Monday,Morning
39,577,Airport,Trip Completed,2016-07-11 11:03:00,11,Monday,Morning
40,1179,City,Trip Completed,2016-07-11 20:58:00,20,Monday,Night
